gene,F518.21h,F518.29h,F518.33h,F518.37h,F518.41h,F518.45h,F518.49h,F518.53h,F518.57h
SCO2596,9.06736264999434,8.91790907385298,9.43666527892822,9.24156480146501,9.16557980400716,9.23239960705858,9.30429807768464,9.19790196749986,9.26825867065741
SCO4809,11.7542579482946,11.7864030530696,11.8910486695838,11.7864030530696,11.8042058794425,11.7122800340848,11.6594608012298,11.6906091533989,11.6766515620053
SCO4660,10.3774503569976,10.5263851231513,10.5216091634769,10.5263851231513,10.846865008742,10.846865008742,10.8743162674825,10.9769586527241,11.0248041559236
SCO5624,11.8685962319193,11.9601994763477,11.7122800340848,11.5842020259204,11.7390637713113,11.5592926360588,11.6282764208885,11.7122800340848,11.7122800340848
SCO4762,13.0394067002029,13.1369532077383,13.0394067002029,13.2626054810448,13.1369532077383,12.9697258685416,13.0394067002029,13.0394067002029,13.0394067002029
SCO4652,10.7516509834134,10.4605616968925,10.7445077837131,10.7591595334689,10.7142331134888,10.6618493402125,10.8234291645529,10.7920943509582,10.7215302614428
SCO3909,10.6509539929332,10.4499269999337,10.5401614114864,9.81935062905919,9.67953288006584,9.62479139507051,9.57996327637634,9.56017783436611,9.28585941086606
SCO5373,12.216392549975,12.216392549975,12.0820207517275,12.123050096678,12.1819135128874,12.1984907431246,12.3358388008625,12.3163959370128,12.3594015319104
SCO5254,8.28251702839355,9.01700942162254,9.67618041585694,7.74890097566516,7.77063086002478,8.49295695901061,8.31306441494636,9.22406600699074,9.08461944053802
SCO6482,9.21570555737743,9.81935062905919,9.73673639784285,9.75990297432931,9.98467162426554,9.81935062905919,9.87374827343448,10.0281623914863,9.98030304207365
SCO4718,10.3647146813169,10.285164575909,10.3024789962334,10.285164575909,10.1235150342099,10.2140357353583,10.2412774477568,10.3774503569976,10.3890564648818
SCO5077,5.45333466090042,6.20311412901808,6.49122957486248,6.6918443085326,6.63568990896426,7.68400828723562,8.79200575226324,10.1078273342515,9.73243880661194
SCO4719,11.306192733974,11.1000293239108,11.1809541125881,11.1000293239108,10.9509227814211,11.0248041559236,10.7445077837131,10.7070935397683,10.5629144227873
SCO5554,10.0911444377311,9.93681622023084,9.68378416413059,9.42561455666294,9.11353092567926,9.01700942162254,9.02355107743015,8.62364579603322,8.45409362036545
SCO3767,9.4734284116809,9.74368811972042,9.58963658322074,9.65960351162301,9.72744779622234,9.79482558265852,9.59871422997437,10.9043017758644,10.4813128463956
SCO1866,10.2554810627612,9.86077489160983,9.7823685186335,9.2475240719122,8.87791462620732,7.97507093524394,8.3484134215984,8.82286466859553,7.27116211082681
SCO4730,10.7920943509582,10.4857901834802,10.8797100201464,10.8125944873605,10.8877587962235,10.9603672269309,10.9769586527241,11.1425722762618,11.1210189996334
SCO2597,9.74368811972042,9.53997731262379,9.48719467305487,9.41970976135633,9.38093238632103,9.47916947018387,9.52187739313902,9.74766712073442,9.57996327637634
SCO4721,10.6427757677787,10.5842933875929,10.6509539929332,10.4857901834802,10.4732254476993,10.4416116588536,10.4605616968925,10.4237462291148,10.3495368005476
SCO4228,7.26093521078545,7.17731986649513,7.01187327908186,10.196044693109,10.7516509834134,10.8877587962235,11.0840864168492,11.2254036129891,11.2389672700909
SCO4614,10.2902646526223,10.0357185957035,10.1078273342515,10.178128114539,9.99540600016122,10.103306752768,10.0357185957035,9.94891227653739,9.64247896109916
SCO4712,10.6618493402125,10.1235150342099,10.2027550859101,10.3288780919505,9.95274609983571,10.0583706172888,9.95947555171691,10.1705023535347,10.1388448955389
SCO5135,5.89195917825894,4.85676441753624,5.09386061244849,5.04827494225243,5.61559285651096,5.10008993599524,5.52084127119593,5.29963542026891,4.64795403038783
SCO4509,9.38093238632103,9.7823685186335,9.66621611111641,9.77161968400016,10.0117894365781,9.74368811972042,10.0444426941313,9.64247896109916,9.59454440272504
SCO2008,11.8229098010038,11.7122800340848,11.7542579482946,11.8488528527174,11.940695328533,11.9109395661827,12.0373311207675,12.1984907431246,12.1518322564031
