gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO2017,5.04682085675299,5.95160851589772,5.87446911791614,6.13613668798603,6.02974734339405,5.58161905764679,5.64705862181307,6.13841402869709,5.86899398784999
SCO2018,8.42673066623235,8.29129862617106,9.1281375662767,8.53008114944055,7.98805344850312,7.93270688741266,7.71348198494606,8.61960864352805,8.1160551044859
SCO2019,9.17381591702989,8.79477685597814,8.20972411631772,7.25056161138346,7.02852004001005,6.55969574211073,6.39898115305977,6.54432051622381,6.53051471669878
SCO2020,8.52530329005344,9.14550763646306,8.59887961501349,8.9750518226078,8.94349161004363,9.00920656495322,8.82425162371942,8.87736935134069,9.03525732478633
SCO2021,7.90488545971814,8.06758374673034,7.41878963413995,8.95742453961681,8.69638801425988,8.61389175787787,8.63097489847799,8.63662462054365,8.58329174773664
SCO2022,9.10124618969746,8.32717835557457,8.13670636027019,8.21053606364666,8.27483108825272,8.05769094197191,8.34380259451012,8.15846943691015,8.16378942465166
SCO2023,8.78354396078654,6.96064556136311,6.74893823583228,6.85936222552593,6.89077093024524,6.82159684463338,7.09216984392787,6.92547202135024,6.55117418726487
SCO2024,8.23734276280242,7.31338695355704,7.22935292306665,7.04196329310369,7.05166211982249,6.85452212259833,7.0413549460397,6.93598350712884,7.08274043100794
SCO2025,10.7150086465074,9.57679924258352,9.1743709064735,8.07948478382682,8.40419543356744,8.27508984442611,8.5395896592644,8.4797802640291,8.61552746671623
SCO2026,11.6063538007975,10.4773085485347,10.8797534088441,9.40537787363108,9.66711154207503,9.54410581348647,9.78917134083965,10.0101395430247,9.89801347499375
SCO2027,8.11749881024121,7.98994633533608,7.27767485683764,8.62021982550749,8.30428793575163,8.63581887070931,8.8399036159258,8.73358030898157,8.51394686718029
SCO2028,5.04682085675299,4.90153736111431,6.55629315788989,5.15650448567999,5.54088143225704,5.1963972128035,5.05889368905357,5.77844223014236,5.37310681881292
SCO2029,2.03952836418664,2.50250034052918,5.15650448567999,4.05407667275579,3.84130225398094,4.28950661719499,4.10619940383193,5.20511442990461,4.36923380966572
SCO2030,4.4594316186373,4.40750382659344,6.3497112514009,4.28950661719499,4.62449086490779,4.57826784814715,4.41503749927884,5.27301849440642,4.78427130894456
SCO2031,3.25633975325979,3.23946593469539,6.08510356837642,3.92810708151821,3.70659194512269,4.57826784814715,4.33786963875638,5.02974734339405,4.83007499855769
SCO2032,4.87992354800825,4.23946593469539,6.4447848426729,5.10852445677817,5.59991284218713,5.01495034146597,5.28950661719499,5.70659194512269,5.69735373826735
SCO2033,3.62449086490779,3.23946593469539,5.1963972128035,4.05407667275579,4.30580842952409,4.0198995574377,3.99498192523338,4.68805599368526,4.57154198495883
SCO2034,11.8701934493225,11.751311587563,11.9743747534084,11.9101013580404,11.5524556337215,11.531814637232,11.4668695244982,11.4713647419134,11.4134516358681
SCO2035,7.72109918870719,10.3698396531386,10.243173983473,9.38514338989102,8.92761337420459,8.97457392439522,8.67908907225251,8.83095528111651,9.00687147670529
SCO2036,9.94218865665555,9.32505555121917,9.28796883587239,8.89481776330794,8.8208880777113,8.91122551982956,8.93237881577033,8.78354396078654,8.79910170070846
SCO2037,10.8587580999354,10.4755082737219,10.4166802591613,9.63642322526994,9.67311273709638,9.46125205426167,9.55778277603037,9.52682523507985,9.36705066416833
SCO2038,3.90153736111431,4.23946593469539,0.830074998557688,1.15200309344505,3.97982211806237,3.66296501272243,2.03952836418664,2.68805599368526,3.36923380966572
SCO2039,10.6960981709559,10.3181661760912,10.3494655399056,10.1779731431537,10.1285672168604,10.200626192832,10.2719168788973,10.1865957455077,10.1546071733048
SCO2040,8.49807353423022,7.98267674257689,7.26938646037653,8.04984854945056,7.93270688741266,7.92711949788064,8.02113421308934,7.79152469295588,7.78026634853039
SCO2041,10.8254005125995,10.6703120067809,10.7127180479195,10.2633996252736,10.1951671189042,10.2282842600245,10.3302944634016,10.2714630279044,9.93549248833431
SCO2042,6.55969574211073,6.55969574211073,4.90689059560852,6.85936222552593,6.58996318177952,6.28745587763022,6.27922364393312,6.19092208273735,6.38082178394093
SCO2043,8.94755577139067,8.55245563372149,8.88941945938211,8.1859766368861,8.06847973788277,7.94349161004363,7.86899398784999,8.09275714091985,8.05588493918123
SCO2044,7.66849107435502,7.12469574744931,5.26886685113595,6.2521397647305,6.25319090870479,6.32992088564089,5.61470984411521,5.70659194512269,5.58329174773664
SCO2045,10.441330387257,10.2513509038482,10.1019756709492,10.050150969542,9.99112812966333,10.0166535501907,10.1239776671792,10.1494648745579,10.2070143201775
SCO2046,6.71881824745595,6.60073889147445,6.59162623100217,6.48649986183547,6.6566234858486,6.22239242133645,6.58579715219997,6.53051471669878,6.3279268355088
SCO2047,7.51569983828404,7.32593002544486,6.39993060688864,6.48649986183547,6.49895998282393,6.58996318177952,6.23308702213268,6.19092208273735,6.22881869049588
SCO2048,11.0794847838268,10.3725023460841,10.1543962067122,9.95621480001419,9.88586581312359,10.0557343368489,10.052266137014,10.0310502102623,9.88586581312359
SCO2049,10.7525664890162,10.0557343368489,9.76164356788186,9.69513160583805,9.61389175787787,9.6814336475912,9.75433079945894,9.61614037972165,9.60999950052559
SCO2050,10.8551280242293,10.3461443323082,10.1391249610728,9.74436668888915,9.73113043111096,9.73348615979624,9.56922270854414,9.63046938144668,9.67409416233211
SCO2051,9.76919503369638,9.35816277260523,8.96882676381586,8.52573829534571,8.6798710208033,8.59825932333461,8.71080643369935,8.69580826940945,8.69580826940945
SCO2052,10.0543782079311,9.5018371849023,8.96241406277695,8.85070776021539,8.98552572986983,8.97154355395077,8.88620463300323,9.08185325559356,8.8541757788106
SCO2053,10.3740734486922,10.0600954342633,9.95144662451665,9.47708363699934,9.5012843222625,9.42696356558565,9.46397840790621,9.4814630999144,9.46851091254816
SCO2054,10.6293566200796,10.2697760445296,10.1746483211539,9.57627437808146,9.49596603331518,9.59058704991503,9.70860494142008,9.74837923225762,9.71720039605812
SCO2055,5.80161855250846,6.11084576868829,7.79369361600166,6.80807036717065,7.06129617926887,7.77185624083622,7.75933340719466,7.95387308980954,7.8510549374619
