gene,ds1_33h,ds1_41h,ds1_45h,ds1_49h,ds1_53h,ds1_57h,ds1_61h,ds1_65h,ds2_33h,ds2_41h,ds2_45h,ds2_49h,ds2_53h,ds2_57h,ds2_61h,ds2_65h,ds1_cluster,ds2_cluster,highlighted,profile_selected,ds1_var,ds2_var,ds1_median,ds2_median
SCO2513,0.6783510146,0.10181963070000001,0.22097831040000002,2.1480686328,-0.37472991650000004,-0.5982696665,-1.0961988361,-1.0800191695,-0.6873190216,0.2798857805,0.4306922307,1.8450542519000002,0.7629906803000001,-0.3351324047,-0.6338556557,-1.6623158615,ds1_1,ds2_1,True,False,96.6616084977,49.8048399688,81.7147192716,61.9047619048
SCO2887,-0.9099598431,1.3009635965,0.4511807694,1.3917518101000002,0.3120529749,-0.0139495658,-1.3997085771,-1.1323311648,-1.890240619,0.9743173312000001,1.1136182308,0.1856424677,1.0209824971,0.11039955080000001,-0.7317998845,-0.782919574,ds1_1,ds2_1,True,False,69.8533131007,64.168618267,59.3955488113,81.2646370023
SCO2974,0.9116373577,-0.7705532276,-0.5458631074,2.0131444431,-1.4787535898,0.0388886083,0.0206956027,-0.1891960869,-2.3126488251,0.8636880026,0.44137805220000004,0.9278899036,0.18529031540000002,-0.6390791496,0.6306420491,-0.0971603484,ds1_1,ds2_1,True,False,0.7966616085,24.6682279469,86.545270612,12.6463700234
SCO2975,0.19745706570000002,-0.3155051746,0.082088592,1.6948395412,1.2752239772,-0.4722101671,-1.0044426961,-1.4574511385,-0.7896850469000001,1.1817341415,1.1195658978,0.5859520172,0.6627637232,-0.320508654,-0.5623447154,-1.8774773635000002,ds1_1,ds2_1,True,False,67.8553363682,43.3255269321,89.2261001517,27.6346604215
SCO3352,0.1159131817,0.0514854838,-0.20496799240000002,2.457169155,-0.1761400682,-0.8964467104,-0.3885879934,-0.9584250561000001,-2.1838658093,0.40478725600000004,1.5615735937,0.5741604434,0.3441710844,-0.1303108844,-0.3014807662,-0.2690349177,ds1_1,ds2_1,True,False,11.0015174507,48.4777517564,96.9650986343,38.8758782201
SCO3359,-1.5474006659000001,0.7889363435000001,1.2447259393,1.2164142765000001,-0.5964294348,0.2358804046,-0.104448759,-1.2376781042,-0.5633719423,-0.21126261100000002,1.3313342681,1.5018955977,-1.4016121534,0.3112079242,-1.2188658652,0.2506747818,ds1_1,ds2_1,True,False,11.115326251900001,24.043715847,93.0450177036,4.9960967994
SCO3563,-0.6037085905,-0.4977361481,-0.40698512940000003,2.4159206048,-1.1396700904000001,-0.100725597,0.2691145089,0.0637904417,-0.5773571501,-0.253457761,2.0390456383,0.8110803937000001,0.46275697730000004,-0.3339644194,-0.79655553,-1.3515481488,ds1_1,ds2_1,True,False,50.4931714719,26.3075722092,93.1714719272,74.7853239657
SCO3575,0.06910550580000001,0.4252481772,-0.2977835576,2.043174067,-1.2803358562,-0.9967745640000001,-0.6586777751,0.6960440029,-0.6623083740000001,0.5064793673,-0.3571844753,2.2942559313,-0.7022178957,-1.0395476103,-0.4314949645,0.3920180214,ds1_1,ds2_1,True,False,5.9812847749,4.9180327869,92.0839656045,76.4246682279
SCO4071,0.30852731240000003,0.11504164430000001,0.1352790711,2.3440031809,-1.0267985328,-0.9264735215000001,-0.5625571109,-0.3870220435,-2.0508838517,-0.36241977550000004,0.7941505662,1.2805287382000001,0.9887665994,-0.3165026734,0.192768393,-0.5264079962,ds1_1,ds2_1,True,False,75.7207890744,42.2326307572,89.5042994436,66.6666666667
SCO4251,-2.3996747177,0.2614766693,0.5639069139,0.7923275205,0.8717228938,0.5107890988,-0.185640406,-0.4149079726,-0.6628174785000001,0.42523928580000003,0.8144032625000001,1.1678148587,1.2081086876,-0.1732795558,-1.4059176693,-1.3735513909,ds1_1,ds2_1,True,False,45.3717754173,53.4738485558,93.5761254426,15.1444184231
