gene,exp1_value1,exp1_value2,exp1_value3,exp1_value4,exp1_value5,exp1_value6,exp1_value7,exp1_value8,exp1_value9,exp2_value1,exp2_value2,exp2_value3,exp2_value4,exp2_value5,exp2_value6,exp2_value7,exp2_value8,exp2_value9,exp1_cluster,exp2_cluster
SCO0999,0.3178960178,0.08169407890000001,0.5488536863,0.834351767,0.7084892773,0.5450778116,0.1672805719,-0.9176540888,-2.285989122,0.038445253900000004,0.3926527112,0.2753502416,0.4127198004,0.6893256240000001,0.5596562273,0.5689897571,-0.426297864,-2.5108417514,exp1_1,exp2_1
SCO1026,0.5448383521,-2.2340503487,-0.5100312084,1.324802512,0.2571466538,0.5618867491,0.0504348409,-0.3928234794,0.3977959285,-1.9049127862000002,-1.532713126,0.6583269291,0.6299614245,0.2107895296,0.6051090787,0.5818831954,0.6588473971000001,0.09270835790000001,exp1_1,exp2_1
SCO1086,-0.7463352346000001,-2.0545018459,-0.8960916817000001,0.852535068,0.5354037683,0.4296933351,0.45612094340000003,0.702778621,0.7203970265,-0.172390331,-2.5883770412000002,0.0278197846,0.3749173371,0.5475043045,0.3816115262,0.42970196520000004,0.49818275030000003,0.5010297043,exp1_1,exp2_1
SCO1091,1.2360685588,-1.8662211574,-0.1817747881,1.3936067084000001,-0.21812974570000002,-0.1696564689,-0.1817747881,-0.6786258754000001,0.6665075562,-0.4721232736,-2.117267427,0.8099720929,0.5484754142,-0.6853827009,0.2218161327,0.6187156224,1.1924850339,-0.1166908947,exp1_1,exp2_1
SCO1214,-1.7004949929,-1.5168587304,-0.4003011208,0.9410420142,0.5657853038,0.8261925791,0.656682183,0.058482451500000004,0.5694703125,-1.6708682945,-0.7214297646000001,-1.1888251699,-0.1814615685,0.2788097188,0.6499962408000001,1.0753127435,1.0186527022,0.7398133921000001,exp1_1,exp2_1
SCO1254,-1.7104377592,-1.0820832246,0.1641781444,1.6149159297,0.7776073932,0.1343275727,0.1253724012,-0.5731309769,0.5492505195,-2.103928651,-0.5396771306,-0.5138834782,-0.4006167651,0.3711106993,0.9527538874,0.44138799160000003,0.9678920424,0.8249614043,exp1_1,exp2_1
SCO1423,0.43816285580000003,-2.0478891695,-0.1976074583,1.2661427996,0.49096769910000004,0.7718894658000001,0.015724108900000002,-1.0255874021,0.28819710060000003,-2.0572701653,-0.4206292625,-0.5785254553,0.0013885679000000001,-0.2466310226,0.7915905192,0.6815198094,1.3791950724,0.44936193690000004,exp1_1,exp2_1
SCO1438,-0.2744107856,-0.9934906951,0.2434979588,1.6302949272,0.6073181511,0.3676248479,0.5131529249,-1.8409777314,-0.2530095978,-0.1091466685,0.015942122,-1.7958501651,-0.7227930651000001,-0.6759498287,0.0633058388,0.6177909628,1.3155816914,1.2911191124,exp1_1,exp2_1
SCO1488,-1.6750339814,-1.2065605772,-0.7296714832000001,1.3966928304000001,0.6925801092,0.4401094123,0.3307054437,0.0670138269,0.6841644193,-2.0134723082,0.6271235183,0.7899633450000001,0.6618195041,0.0666676942,0.7737718849,-0.8939484995,0.7316740888000001,-0.7435992277,exp1_1,exp2_1
SCO1489,-0.4087052235,-1.5141374062000001,0.8616848625,1.5900704092,0.16757628260000001,0.4932074683,-0.0402278292,-1.3920257116,0.2425571478,-1.8134289324,-1.0676785666,-0.1098802812,0.164863961,0.4147535896,0.45069201740000003,0.09948065310000001,0.0894044584,1.7717931007,exp1_1,exp2_1
