"gene","ds1_PM","ds1_MM","ds1_BN","ds1_SN","ds1_PMN","ds2_PM","ds2_MM","ds2_BN","ds2_SN","ds2_PMN","ds1_cluster","ds2_cluster","ds1_var","ds2_var","ds1_median","ds2_median"
"ENSG00000100330",-1.5885157958,-0.6311776124,0.2142135015,0.8993713516,1.1061085551,-1.7958104059,0.0108237672,-0.0274010318,1.1629256813,0.6494619892,"ds1_2","ds2_2",83.1165076612,25.267418329,89.4478172882,44.7817288234
"ENSG00000100365",-1.7842814164,-0.3174025786,0.2989718067,0.9271016987,0.8756104896,-1.584302932,-0.5926464009,0.1595774657,0.8107025126,1.2066693547,"ds1_2","ds2_2",91.1535125759,72.5354148598,97.5137322926,95.4900260191
"ENSG00000100485",-1.6869072018,-0.3885300837,0.0781620146,0.9617261711,1.0355490997,-0.5213155484,-0.9857533313,-0.4844032651,0.1185549925,1.8729171523,"ds1_2","ds2_2",80.4278693264,61.6941312518,86.0942468922,5.8398381035
"ENSG00000100599",-1.7113689272,-0.5402748469,0.6753103802,0.5870922197,0.9892411742,-1.6855617023,-0.4295799354,0.1641498928,0.8268129128,1.1241788322,"ds1_2","ds2_2",60.1329864123,77.2477594681,70.4538884071,49.3206128939
"ENSG00000100612",-1.6396118816,-0.4246457554,-0.0003367926,1.0383663,1.0262281296,-1.7778291852,-0.0675824377,1.2917987103,0.356707852,0.1969050606,"ds1_2","ds2_2",80.3989592368,8.8464874241,85.6605955478,89.1298063024
"ENSG00000100784",-0.9342893995,-0.8225951528,-0.4803477981,0.5198247963,1.717407554,-1.3170658547,-0.3140174627,-0.0295548153,-0.114931582,1.7755697147,"ds1_2","ds2_2",70.5406186759,79.5894767274,34.4319167389,72.5354148598
"ENSG00000100982",-0.8789020071,-0.5867046181,-0.5460099043,0.1220997136,1.8895168158,-0.1534637983,-0.5403662944,0.8090444027,-1.4759271324,1.3607128224,"ds1_2","ds2_2",36.9760046256,25.4119687771,33.6802544088,10.2630818156
"ENSG00000101109",-1.2933304141,-0.6849701505,-0.2543771726,0.7284086893,1.5042690478,-1.6218577105,-0.6261942431,0.3165023303,0.8888247036,1.0427249197,"ds1_2","ds2_2",92.3966464296,74.5302110437,92.5122867881,89.3032668401
"ENSG00000101150",-0.9966937515,-0.8867915202,-0.4868303273,0.8901996855,1.4801159136,-0.7736355346,-0.8775784772,-0.0385338991,1.8942154664,-0.2044675555,"ds1_2","ds2_2",80.3122289679,13.7033824805,67.0135877421,64.0069384215
"ENSG00000101160",-1.6999261354,-0.3574635356,0.0847744863,1.1081248902,0.8644902945,-1.4971089228,-0.8336323632,0.5662408505,1.1875061449,0.5769942907,"ds1_2","ds2_2",72.3041341428,38.5949696444,80.5435096849,86.0942468922
"ENSG00000101265",-1.3403896217,-0.7011950961,-0.1993949324,0.8368281742,1.4041514759,-1.7224936189,-0.3971029679,0.210743694,1.0217034034,0.8871494894,"ds1_2","ds2_2",92.9459381324,74.5880312229,93.5530500145,76.7562879445
"ENSG00000101307",-1.6264470209,0.0052933316,-0.1026730442,0.2068137516,1.5170129818,-1.6280716077,-0.0087641043,1.3005022167,-0.3802126397,0.716546135,"ds1_2","ds2_2",79.3871061,70.685169124,81.757733449,21.1621856028
"ENSG00000101558",-1.2701359479,-0.8940305157,-0.1017357138,1.2035117608,1.0623904165,0.1445069762,-0.8998441353,-0.8357978195,-0.2544289419,1.8455639204,"ds1_2","ds2_2",86.5568083261,8.933217693,90.5174906042,75.0505926568
"ENSG00000101596",-0.7785994709,-0.8013328225,-0.7085120069,0.5824523353,1.705991965,0.4844606882,-0.7442256074,-1.5754277718,0.7667863388,1.0684063522,"ds1_2","ds2_2",98.9592367736,41.7172593235,90.5464006938,85.342584562
"ENSG00000101916",-0.9455748109,-0.8911205053,-0.5382394519,0.8697149349,1.5052198332,-0.9836143956,-1.0997189107,-0.2634564735,1.1728520226,1.1739377572,"ds1_2","ds2_2",86.7591789535,87.7710320902,53.1656548135,14.5995952587
"ENSG00000102032",-1.0974753182,-0.7007867296,-0.4822204818,0.6546442051,1.6258383245,-1.1314057461,-0.0104460606,0.2129712745,-0.8089500182,1.7378305504,"ds1_2","ds2_2",36.2243422955,24.3712055507,25.0650477016,31.7432784042
"ENSG00000102218",-1.6398013064,-0.5154622141,0.2041342224,0.7517043896,1.1994249085,-1.6865270007,-0.4701186673,0.2299356562,0.8501318325,1.0765781793,"ds1_2","ds2_2",67.6496097138,75.9178953455,72.4197745013,80.6302399537
"ENSG00000102572",-1.6700008547,-0.3650651323,0.0036649596,1.1008946905,0.9305063368,-1.8086310771,-0.1772057301,0.1633894819,0.8401655647,0.9822817606,"ds1_2","ds2_2",61.983232148,77.479040185,70.3093379589,38.1613183001
"ENSG00000102699",-1.9182134638,-0.0380250882,0.8198256665,0.5924958777,0.5439170079,-1.8716271325,-0.1238749365,0.6143652526,0.9648426875,0.416294129,"ds1_2","ds2_2",49.8988146863,47.1812662619,73.8363688927,57.5021682567
"ENSG00000102871",-1.1730510672,-0.6793275481,-0.1010522936,0.1879482035,1.7654827054,-0.4923212456,0.6584406903,-1.6250382578,0.173085316,1.2858334972,"ds1_2","ds2_2",25.8167100318,8.701936976,20.8730847066,51.373229257
"ENSG00000102882",-1.4812901162,-0.6349601229,-0.0709921213,1.1463031566,1.0409392038,-1.6778859632,-0.5229721522,0.5523754976,1.1759035485,0.4725790693,"ds1_2","ds2_2",72.2463139636,60.1908065915,67.331598728,59.7571552472
"ENSG00000102921",-1.0954143884,-0.7886826801,-0.3982318327,0.685672547,1.5966563542,-1.3427095392,-0.7075730915,-0.0902990041,0.6246044728,1.515977162,"ds1_2","ds2_2",87.8288522694,74.4145706852,77.0453888407,24.0242844753
"ENSG00000103187",-1.4421278829,-0.6099447576,-0.1065034663,0.7574447927,1.4011313142,-1.8003303737,-0.2997165336,0.3623542241,0.98693959,0.7507530932,"ds1_2","ds2_2",92.0208152645,82.0179242556,93.7554206418,96.1549580804
"ENSG00000103196",-1.0107891028,-0.9218280921,-0.2534752026,1.6739027623,0.5121896351,-1.0509980541,-1.2401054376,0.1278194732,1.0560988705,1.107185148,"ds1_2","ds2_2",85.342584562,97.7450130095,69.0372940156,40.6475860075
"ENSG00000103313",-1.0563434587,-0.7587315789,-0.3902185699,0.5007604322,1.7045331753,-1.706605798,-0.5269876864,0.465697444,0.7611100892,1.0067859511,"ds1_2","ds2_2",89.8236484533,90.6909511419,78.2017924256,47.4125469789
"ENSG00000103381",-0.8208034493,-0.7148490508,-0.5888179005,0.2838141155,1.8406562852,-1.5030162525,-0.7558199328,0.1958559124,0.9904107503,1.0725695227,"ds1_2","ds2_2",94.4203527031,86.6724486846,71.9572130674,83.6368892744
